aX,aY,aZ
-0.468,-0.911,0.020
-0.457,-0.907,0.019
-0.460,-0.910,0.026
-0.454,-0.905,0.016
-0.459,-0.900,0.026
-0.462,-0.904,0.025
-0.463,-0.910,0.012
-0.461,-0.911,0.020
-0.464,-0.905,0.021
-0.438,-0.926,0.022
-0.462,-0.900,0.029
-0.463,-0.908,0.022
-0.456,-0.903,0.034
-0.465,-0.913,0.016
-0.457,-0.912,0.031
-0.450,-0.911,0.022
-0.458,-0.908,0.044
-0.459,-0.905,0.034
-0.450,-0.905,0.026
-0.456,-0.904,0.012
-0.463,-0.901,0.012
-0.465,-0.905,0.020
-0.457,-0.911,0.018
-0.466,-0.901,0.020
-0.451,-0.903,0.015
-0.458,-0.912,0.021
-0.463,-0.909,0.013
-0.462,-0.909,0.012
-0.455,-0.909,0.017
-0.459,-0.907,0.018
-0.457,-0.912,0.020
-0.460,-0.910,0.025
-0.457,-0.912,0.020
-0.456,-0.910,0.020
-0.460,-0.910,0.018
-0.459,-0.910,0.017
-0.458,-0.902,0.017
-0.452,-0.906,0.018
-0.457,-0.905,0.017
-0.459,-0.908,0.019
-0.453,-0.919,0.026
-0.445,-0.921,0.012
-0.457,-0.906,0.030
-0.469,-0.902,0.021
-0.462,-0.900,0.019
-0.451,-0.908,0.022
-0.460,-0.915,0.018
-0.467,-0.913,0.021
-0.482,-0.911,0.023
-0.528,-0.847,0.008
-0.505,-0.885,-0.019
-0.403,-0.813,0.059
-0.465,-0.876,-0.023
-0.509,-0.926,0.010
-0.448,-0.875,0.034
-0.421,-0.870,0.021
-0.432,-0.848,0.049
-0.516,-0.944,-0.013
-0.467,-0.876,0.030
-0.464,-0.886,0.027
-0.489,-0.873,0.084
-0.519,-0.918,0.083
-0.500,-0.890,0.072
-0.490,-0.906,0.065
-0.472,-0.858,0.124
-0.536,-0.893,0.119
-0.468,-0.896,0.074
-0.488,-0.901,0.069
-0.482,-0.895,0.070
-0.490,-0.895,0.077
-0.500,-0.890,0.080
-0.487,-0.890,0.080
-0.743,-0.777,0.110
-0.472,-0.888,-0.080
-0.416,-0.901,0.101
-0.594,-0.856,0.032
-0.472,-0.886,0.071
-0.521,-0.874,0.078
-0.503,-0.900,0.054
-0.488,-0.890,0.076
-0.523,-0.894,0.069
-0.513,-0.870,0.069
-0.510,-0.885,0.080
-0.514,-0.905,0.080
-0.511,-0.889,0.074
-0.495,-0.860,0.057
-0.495,-0.829,0.045
-0.510,-0.863,0.040
-0.513,-0.868,0.042
-0.515,-0.865,0.052
-0.448,-0.836,0.108
-0.520,-0.876,0.048
-0.508,-0.872,0.042
-0.531,-0.877,0.044
-0.515,-0.889,0.045
-0.519,-0.882,0.046
-0.507,-0.882,0.032
-0.493,-0.887,0.052
-0.504,-0.874,0.115
-0.531,-0.885,0.000
-0.483,-0.873,0.067
-0.522,-0.884,0.025
-0.505,-0.890,0.035
-0.491,-0.894,0.049
-0.506,-0.893,0.033
-0.542,-0.879,0.033
-0.519,-0.874,0.038
-0.509,-0.871,0.037
-0.522,-0.872,0.042
-0.520,-0.877,0.040
-0.515,-0.870,0.042
-0.518,-0.873,0.039
-0.516,-0.873,0.036
-0.518,-0.878,0.035
-0.507,-0.871,0.034
-0.508,-0.872,0.029
-0.506,-0.875,0.028
-0.505,-0.872,0.031
-0.507,-0.874,0.038
-0.506,-0.874,0.038
-0.510,-0.877,0.037
-0.516,-0.878,0.038
-0.518,-0.878,0.037
-0.514,-0.879,0.037
-0.515,-0.879,0.040
-0.512,-0.882,0.040
-0.514,-0.881,0.039
-0.524,-0.858,0.114
-0.562,-0.893,0.004
-0.488,-0.870,0.049
-0.516,-0.876,0.036
-0.506,-0.881,0.042
-0.515,-0.879,0.037
-0.517,-0.878,0.036
-0.510,-0.883,0.033
-0.512,-0.879,0.034
-0.511,-0.881,0.033
-0.508,-0.879,0.037
-0.508,-0.880,0.033
-0.509,-0.879,0.032
-0.511,-0.879,0.032
-0.509,-0.878,0.032
-0.506,-0.878,0.034
-0.506,-0.878,0.037
-0.507,-0.882,0.036
-0.508,-0.881,0.034
-0.513,-0.876,0.035
-0.511,-0.880,0.034
-0.511,-0.880,0.035
-0.509,-0.877,0.034
-0.512,-0.877,0.035
-0.513,-0.876,0.038
-0.531,-0.884,0.049
-0.517,-0.877,0.049
-0.510,-0.876,0.041
