aX,aY,aZ
-0.670,-0.030,-0.549
-0.640,-0.117,-0.560
-0.528,-0.184,-0.523
-0.571,-0.203,-0.471
-0.605,-0.213,-0.475
-0.759,-0.160,-0.479
-0.791,-0.128,-0.509
-0.734,-0.092,-0.549
-0.662,-0.007,-0.639
-0.740,0.167,-0.552
-0.865,0.222,-0.524
-1.243,-0.173,-0.792
-0.977,-0.573,-0.908
-0.887,-0.521,-0.584
-0.825,-0.522,-0.536
-0.674,-0.570,-0.420
-0.680,-0.568,-0.436
-0.989,-0.721,-0.815
-1.497,-0.510,-1.307
-1.466,-0.343,-1.264
-0.955,-0.099,-0.340
-0.901,-0.366,0.015
-0.800,-0.505,0.038
-0.637,-0.614,-0.183
-0.856,-0.520,-0.469
-0.876,-0.422,-0.456
-0.895,-0.355,-0.449
-0.860,-0.371,-0.447
-0.815,-0.331,-0.396
-0.827,-0.332,-0.402
-0.823,-0.276,-0.499
-0.813,-0.281,-0.527
-0.746,-0.314,-0.581
-0.692,-0.410,-0.607
-0.686,-0.387,-0.597
-0.717,-0.383,-0.578
-0.712,-0.406,-0.593
-0.698,-0.405,-0.608
-0.664,-0.316,-0.595
-0.633,-0.249,-0.547
-0.667,-0.255,-0.528
-0.691,-0.220,-0.513
-0.667,-0.174,-0.534
-0.631,-0.098,-0.579
-0.771,-0.130,-0.553
-0.824,-0.228,-0.322
-0.752,-0.286,-0.417
-0.562,-0.427,-0.811
-0.738,-0.426,-0.700
-0.844,-0.389,-0.506
-0.771,-0.322,-0.183
-0.438,-0.465,-0.294
-0.352,-0.565,-0.480
-0.346,-0.626,-0.831
-0.931,0.082,-0.655
-0.878,0.061,-0.568
-0.695,-0.141,-0.543
-0.794,-0.079,-0.547
-0.906,-0.323,-0.693
-1.239,-0.332,-1.016
-1.201,-0.245,-1.082
-1.137,-0.271,-0.955
-0.834,-0.078,-0.514
-0.807,-0.172,-0.469
-0.919,-0.165,-0.482
-1.006,-0.108,-0.598
-0.864,-0.013,-0.833
-0.830,0.013,-0.915
-0.787,0.082,-0.945
-0.776,0.044,-0.898
-0.786,-0.004,-0.874
-0.744,-0.026,-0.743
-0.699,-0.056,-0.589
-0.621,0.108,-0.503
-0.666,-0.027,-0.677
-0.667,-0.062,-0.578
-0.675,-0.056,-0.531
-0.696,-0.022,-0.455
-0.708,0.075,-0.472
-0.721,0.066,-0.517
-0.705,0.027,-0.535
-0.670,-0.023,-0.617
-0.649,-0.050,-0.642
-0.703,-0.072,-0.706
-0.650,-0.058,-0.741
-0.649,-0.031,-0.733
-0.643,-0.027,-0.693
-0.617,0.001,-0.745
-0.617,0.000,-0.695
-0.663,-0.021,-0.648
-0.623,-0.114,-0.640
-0.611,-0.065,-0.642
-0.584,-0.019,-0.659
-0.590,-0.021,-0.557
-0.626,-0.056,-0.534
-0.685,-0.018,-0.534
-0.724,0.023,-0.535
-0.661,0.003,-0.544
-0.512,-0.150,-0.568
-0.540,-0.189,-0.613
-0.641,-0.078,-0.545
-0.849,-0.023,-0.449
-0.801,0.112,-0.562
-1.001,0.049,-0.658
-1.244,-0.340,-0.851
-0.998,-0.552,-0.784
-0.871,-0.471,-0.654
-1.142,-0.522,-0.891
-1.881,-0.751,-1.371
-0.848,0.212,-0.809
-1.120,-0.534,-0.036
-1.093,-0.571,-0.112
-0.887,-0.629,-0.509
-0.726,-0.628,-0.663
-0.738,-0.397,-0.450
-0.911,-0.236,-0.447
-0.831,-0.234,-0.421
-0.736,-0.252,-0.466
-0.720,-0.270,-0.604
-0.688,-0.229,-0.700
-0.667,-0.234,-0.794
-0.668,-0.224,-0.737
-0.688,-0.227,-0.699
-0.723,-0.289,-0.660
-0.745,-0.298,-0.641
-0.746,-0.277,-0.636
-0.757,-0.216,-0.605
-0.765,-0.232,-0.561
-0.779,-0.248,-0.553
-0.763,-0.240,-0.545
-0.738,-0.257,-0.555
-0.683,-0.216,-0.555
-0.659,-0.228,-0.555
-0.567,-0.129,-0.626
-0.528,-0.108,-0.685
-0.525,-0.143,-0.633
-0.563,-0.268,-0.513
-0.606,-0.288,-0.418
-0.684,-0.286,-0.408
-0.659,-0.287,-0.647
-0.685,-0.235,-0.728
-0.860,-0.261,-0.569
-0.863,-0.214,-0.342
-0.773,-0.242,-0.260
-0.505,-0.288,-0.422
-0.477,-0.258,-0.892
-0.645,-0.184,-0.936
-0.763,-0.141,-0.650
-0.779,-0.133,-0.429
-0.886,-0.191,-0.460
-1.130,-0.286,-0.818
-1.003,-0.120,-1.009
-0.838,-0.026,-0.997
-1.117,0.024,-0.933
-1.254,-0.232,-1.110
-1.036,-0.234,-1.044
-0.698,0.022,-0.705
-0.713,0.088,-0.599
-0.736,0.059,-0.694
-0.650,0.025,-0.433
-0.665,0.000,-0.400
-0.681,-0.046,-0.503
-0.700,-0.058,-0.545
-0.694,-0.067,-0.550
-0.695,-0.099,-0.487
-0.708,-0.084,-0.410
-0.709,-0.064,-0.396
-0.695,-0.081,-0.350
-0.641,-0.108,-0.393
-0.599,-0.134,-0.465
-0.561,-0.198,-0.615
-0.480,-0.157,-0.746
-0.525,-0.173,-0.778
-0.494,-0.043,-0.889
-0.507,-0.001,-0.784
-0.535,0.017,-0.712
-0.653,0.016,-0.603
-0.646,0.001,-0.565
-0.637,-0.020,-0.540
-0.661,-0.035,-0.526
-0.634,0.050,-0.566
-0.659,-0.002,-0.529
-0.636,-0.013,-0.547
-0.607,-0.067,-0.526
-0.559,-0.090,-0.624
-0.652,-0.075,-0.568
-1.382,-0.408,-1.046
-1.061,-0.806,-1.244
-0.941,-0.384,-0.978
-0.892,-0.322,-0.638
-1.170,-0.266,-1.012
-0.927,-0.150,-0.802
-0.901,-0.368,-0.209
-0.718,-0.654,-0.068
-0.674,-0.629,-0.015
-0.816,-0.804,-0.273
-0.696,-0.687,-0.393
-0.662,-0.276,-0.492
-0.980,-0.318,-0.271
-0.871,-0.332,-0.443
-0.745,-0.425,-0.585
-0.592,-0.429,-0.613
-0.626,-0.399,-0.677
-0.683,-0.256,-0.693
-0.771,-0.322,-0.633
-0.806,-0.373,-0.535
-0.799,-0.394,-0.511
-0.776,-0.466,-0.501
-0.749,-0.428,-0.426
-0.754,-0.409,-0.395
-0.780,-0.386,-0.411
-0.784,-0.439,-0.445
-0.609,-0.451,-0.564
-0.591,-0.446,-0.575
-0.644,-0.418,-0.609
-1.153,-0.638,-0.888
-1.301,-0.350,-0.879
-1.442,-0.090,-0.758
-1.272,-0.234,-0.636
-1.229,-0.129,-0.513
-1.129,-0.219,-0.365
-0.968,-0.448,-0.049
