aX,aY,aZ
-0.919,-0.502,-0.749
-1.014,-0.474,-0.882
-0.839,-0.400,-0.719
-0.627,-0.223,-0.354
-0.687,-0.291,-0.344
-0.759,-0.282,-0.317
-0.924,-0.387,-0.594
-0.873,-0.568,-1.228
-0.532,-0.359,-1.066
-0.634,-0.099,-0.468
-0.785,-0.113,-0.448
-0.803,-0.134,-0.456
-0.769,-0.112,-0.523
-0.727,-0.136,-0.550
-0.697,-0.148,-0.513
-0.647,-0.232,-0.540
-0.693,-0.277,-0.521
-0.708,-0.249,-0.543
-0.749,-0.238,-0.625
-0.767,-0.263,-0.567
-0.794,-0.247,-0.551
-0.893,-0.282,-0.343
-0.849,-0.188,-0.452
-0.793,-0.273,-0.474
-0.837,-0.258,-0.415
-0.830,-0.268,-0.454
-0.899,-0.252,-0.446
-0.814,-0.248,-0.478
-0.799,-0.244,-0.513
-0.821,-0.237,-0.521
-0.874,-0.241,-0.500
-0.898,-0.204,-0.465
-0.894,-0.223,-0.448
-0.862,-0.287,-0.498
-0.829,-0.324,-0.519
-0.820,-0.328,-0.527
-0.859,-0.288,-0.519
-0.933,-0.297,-0.486
-0.961,-0.310,-0.498
-1.044,-0.291,-0.533
-1.139,-0.293,-0.567
-1.171,-0.296,-0.569
-1.241,-0.283,-0.561
-1.274,-0.216,-0.504
-1.288,-0.171,-0.503
-1.296,-0.072,-0.571
-1.225,-0.005,-0.646
-1.128,0.003,-0.616
-1.007,0.021,-0.522
-1.075,-0.055,-0.488
-1.039,-0.064,-0.486
-0.972,-0.012,-0.593
-0.842,-0.213,-0.754
-0.754,-0.218,-0.708
-0.721,-0.154,-0.501
-0.748,-0.096,-0.456
-0.730,-0.108,-0.493
-0.688,-0.139,-0.691
-0.648,-0.224,-0.744
-0.673,-0.227,-0.721
-0.860,-0.011,-0.559
-0.754,-0.085,-0.437
-0.682,0.020,-0.354
-0.746,-0.048,-0.461
-0.749,0.090,-0.423
-0.692,-0.003,-0.424
-0.604,-0.153,-0.534
-0.583,-0.178,-0.549
-0.582,-0.119,-0.596
-0.516,-0.072,-0.632
-0.390,-0.119,-0.633
-0.252,-0.219,-0.633
-0.323,-0.264,-0.625
-0.296,-0.222,-0.664
-0.289,-0.214,-0.679
-0.283,-0.138,-0.691
-0.284,-0.001,-0.540
-0.280,0.080,-0.561
-0.290,0.041,-0.537
-0.258,-0.083,-0.549
-0.267,-0.172,-0.576
-0.325,-0.273,-0.720
-0.347,-0.145,-0.834
-0.304,-0.132,-0.793
-0.447,-0.166,-0.989
-0.688,-0.443,-1.359
-0.916,-0.534,-1.542
-1.033,-0.436,-1.489
-0.728,-0.295,-0.728
-0.650,-0.036,-0.559
-0.551,-0.015,-0.252
-0.717,-0.524,-0.442
-0.888,-0.691,-0.769
-0.980,-0.596,-1.376
-0.813,-0.271,-1.050
-0.813,-0.259,-0.742
-0.725,-0.316,-0.493
-0.720,-0.222,-0.315
-0.706,-0.246,-0.273
-0.771,-0.337,-0.300
-0.859,-0.350,-0.648
-0.564,-0.467,-1.197
-0.624,-0.158,-0.464
-0.730,-0.177,-0.420
-0.779,-0.245,-0.458
-0.740,-0.281,-0.488
-0.682,-0.263,-0.542
-0.714,-0.186,-0.639
-0.778,-0.192,-0.612
-0.765,-0.201,-0.577
-0.758,-0.252,-0.555
-0.717,-0.232,-0.478
-0.715,-0.292,-0.490
-0.753,-0.305,-0.473
-0.756,-0.260,-0.442
-0.755,-0.305,-0.506
-0.826,-0.219,-0.513
-0.819,-0.233,-0.485
-0.836,-0.204,-0.384
-0.839,-0.293,-0.410
-0.828,-0.332,-0.366
-0.926,-0.229,-0.391
-0.914,-0.187,-0.427
-0.830,-0.205,-0.494
-0.792,-0.229,-0.547
-0.850,-0.246,-0.544
-0.840,-0.231,-0.511
-0.823,-0.218,-0.494
-0.865,-0.247,-0.479
-0.894,-0.273,-0.432
-0.884,-0.280,-0.428
-0.889,-0.282,-0.474
-0.904,-0.295,-0.576
-0.880,-0.316,-0.548
-0.908,-0.289,-0.527
-0.982,-0.254,-0.533
-1.019,-0.268,-0.519
-1.020,-0.284,-0.543
-1.026,-0.313,-0.630
-1.162,-0.230,-0.733
-1.234,-0.197,-0.774
-1.246,-0.156,-0.781
-1.196,-0.134,-0.761
-1.153,-0.118,-0.731
-1.059,-0.113,-0.609
-1.059,-0.148,-0.548
-1.118,-0.095,-0.558
-1.037,-0.029,-0.683
-0.731,-0.407,-0.698
-0.679,-0.398,-0.708
-0.769,-0.429,-0.662
-0.852,-0.387,-0.623
-0.802,-0.367,-0.658
-0.764,-0.458,-0.757
