aX,aY,aZ
0.649,-0.154,0.549
0.691,-0.253,0.523
0.639,-0.279,0.575
0.686,-0.256,0.545
0.761,-0.328,0.450
0.722,-0.358,0.523
0.713,-0.481,0.488
0.727,-0.500,0.450
0.726,-0.512,0.405
0.671,-0.554,0.443
0.641,-0.591,0.473
0.654,-0.713,0.434
0.642,-0.816,0.381
0.656,-0.813,0.353
0.562,-0.815,0.338
0.582,-0.921,0.311
0.610,-0.889,0.318
0.824,-0.813,0.277
0.593,-0.987,0.114
0.573,-0.945,0.161
0.623,-0.943,0.170
0.542,-0.945,0.112
0.525,-0.955,0.135
0.480,-0.874,0.143
0.333,-0.989,0.069
0.312,-0.973,0.135
0.233,-0.981,0.081
0.258,-0.809,-0.130
0.252,-0.964,-0.273
0.184,-1.223,-0.222
0.192,-1.228,-0.281
0.282,-1.195,-0.307
0.391,-1.363,-0.351
0.284,-1.067,-0.247
0.253,-0.999,-0.207
0.300,-0.901,-0.261
0.272,-0.892,-0.244
0.296,-0.867,-0.281
0.377,-0.866,-0.295
0.352,-0.992,-0.330
0.360,-1.013,-0.374
0.268,-1.008,-0.339
0.247,-0.936,-0.227
0.247,-0.969,-0.236
0.177,-0.840,-0.066
0.155,-0.982,-0.276
0.199,-1.037,-0.340
0.172,-1.014,-0.488
0.195,-1.184,-0.967
0.380,-1.015,-0.855
0.288,-1.016,-0.340
0.413,-1.036,-0.379
0.418,-1.067,-0.417
0.353,-1.204,-0.391
0.321,-1.199,-0.355
0.242,-1.155,-0.284
0.312,-1.182,-0.261
0.326,-1.122,-0.223
0.399,-1.022,-0.178
0.391,-1.088,-0.104
0.423,-1.019,0.018
0.649,-1.010,0.074
0.595,-0.990,0.100
0.606,-0.958,0.133
0.590,-0.853,0.201
0.658,-0.759,0.368
0.633,-0.630,0.386
0.531,-0.595,0.486
0.680,-0.431,0.421
0.774,-0.403,0.446
0.751,-0.370,0.458
0.693,-0.228,0.478
0.702,-0.185,0.471
0.737,-0.198,0.480
0.839,-0.241,0.496
0.752,-0.150,0.465
0.771,-0.101,0.502
0.743,-0.081,0.509
0.763,-0.037,0.511
0.710,-0.021,0.511
0.827,-0.060,0.565
0.844,-0.034,0.592
0.606,0.083,0.543
0.648,0.118,0.541
0.671,0.204,0.594
0.667,0.292,0.513
0.656,0.313,0.534
0.578,0.424,0.467
0.708,0.349,0.608
0.504,0.525,0.461
0.491,0.586,0.466
0.584,0.591,0.507
0.580,0.599,0.453
0.613,0.627,0.419
0.661,0.610,0.435
0.667,0.602,0.418
0.657,0.491,0.332
0.698,0.551,0.428
0.626,0.579,0.429
0.578,0.598,0.360
0.651,0.569,0.354
0.565,0.690,0.127
0.457,0.834,0.137
0.591,0.848,0.127
0.435,1.000,0.060
0.427,1.179,0.083
0.522,1.164,0.061
0.621,1.100,0.088
0.502,0.900,0.065
0.447,0.861,0.087
0.403,0.922,0.161
0.655,0.772,0.321
0.432,0.823,0.162
0.445,0.715,0.154
0.498,0.673,0.140
0.607,0.652,0.155
0.836,0.483,0.196
0.760,0.363,0.269
0.631,0.311,0.296
0.648,0.267,0.270
0.840,0.100,0.220
0.874,0.014,0.258
0.814,-0.111,0.305
0.741,-0.167,0.315
0.813,-0.228,0.326
0.855,-0.376,0.320
0.742,-0.440,0.354
0.711,-0.450,0.368
0.714,-0.581,0.281
0.712,-0.738,0.236
0.723,-0.755,0.246
0.706,-0.833,0.224
0.699,-0.851,0.228
0.707,-0.865,0.260
0.708,-0.783,0.254
0.739,-0.775,0.187
0.866,-0.799,0.186
0.711,-0.736,0.145
0.699,-0.725,0.136
0.728,-0.739,0.085
0.595,-0.744,0.114
0.585,-0.758,0.123
0.639,-0.728,0.087
0.682,-0.823,0.028
0.588,-0.804,0.142
0.670,-0.880,-0.028
0.633,-0.969,-0.065
0.636,-0.935,-0.022
0.602,-0.946,-0.053
0.627,-0.973,-0.105
0.526,-0.962,-0.067
0.548,-0.951,-0.084
0.458,-0.949,-0.168
0.490,-0.924,-0.203
0.467,-0.937,-0.237
0.429,-0.978,-0.276
0.397,-0.975,-0.107
0.378,-0.923,-0.220
0.339,-0.910,-0.223
0.334,-0.937,-0.261
0.327,-0.959,-0.284
0.312,-0.981,-0.320
0.321,-0.993,-0.322
0.327,-1.006,-0.307
0.309,-0.993,-0.314
0.303,-1.018,-0.285
0.245,-1.034,-0.301
0.235,-1.023,-0.313
0.235,-1.008,-0.295
0.242,-0.949,-0.282
0.237,-0.922,-0.262
0.252,-0.891,-0.246
0.243,-0.877,-0.244
0.236,-0.908,-0.259
0.231,-0.904,-0.273
0.179,-0.900,-0.243
0.258,-0.880,-0.225
0.183,-0.884,-0.290
0.224,-0.839,-0.232
0.245,-0.841,-0.236
0.172,-1.081,-0.384
0.153,-1.073,-0.314
0.161,-1.075,-0.300
